staircase.thisRepN,staircase.thisTrialN,staircase.thisN,staircase.thisIndex,image_l.started,image_r.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.corr,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,9.088442799984477,9.088442799984477,0.03900500002782792,[0.2814814814814815],[0.0787037037037037],[1],[0],[0],[1.210670999949798],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
1,0,1,0,10.338434999925084,10.338434999925084,0.029252300038933754,[0.2814814814814815],[0.0787037037037037],[1],[0],[0],[1.2512927999487147],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
2,0,2,0,11.621749199926853,11.621749199926853,0.027651499956846237,[-0.25],[0.05],[1],[0],[0],[0.9543450999772176],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
3,0,3,0,12.605070299934596,12.605070299934596,0.028226700029335916,[0.22870370370370371],[0.03981481481481482],[1],[0],[0],[0.7368262000381947],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
4,0,4,0,13.371737099951133,13.371737099951133,0.028433099971152842,[-0.22685185185185186],[-0.009259259259259259],[1],[0],[0],[0.7533242999343202],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
5,0,5,0,14.15505870000925,14.15505870000925,0.027767100022174418,[0.31203703703703706],[0.028703703703703703],[1],[0],[0],[0.6217426999937743],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
6,0,6,0,14.8050699000014,14.8050699000014,0.028251599986106157,[0.1824074074074074],[0.03796296296296296],[1],[0],[0],[0.9690098999999464],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
7,0,7,0,15.805050399969332,15.805050399969332,0.030967299942858517,[-0.18981481481481483],[0.025],[1],[0],[0],[0.567467899993062],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
8,0,8,0,16.40504909993615,16.40504909993615,0.02973449998535216,[-0.16574074074074074],[0.028703703703703703],[1],[0],[0],[0.902060899999924],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
9,0,9,0,17.338376499945298,17.338376499945298,0.027500699972733855,[-0.17777777777777778],[0.010185185185185186],[1],[0],[0],[0.7709542999509722],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
10,0,10,0,18.138381500029936,18.138381500029936,0.027515400084666908,[0.22407407407407406],[0.012962962962962963],[1],[0],[0],[0.5717260000528768],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
11,0,11,0,18.73838999995496,18.73838999995496,0.02856219990644604,[-0.2611111111111111],[0.002777777777777778],[1],[0],[0],[0.6356745000230148],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
12,0,12,0,19.405030100024305,19.405030100024305,0.027009300072677433,[-0.25],[0.011111111111111112],[1],[0],[0],[1.1050014999927953],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
13,0,13,0,20.538413499947637,20.538413499947637,0.03606690000742674,[-0.25],[0.011111111111111112],[1],[0],[0],[1.3115610999520868],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
14,0,14,0,21.888365900027566,21.888365900027566,0.02801130001898855,[0.3111111111111111],[-0.004629629629629629],[1],[0],[0],[1.2214570998912677],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
15,0,15,0,23.138366500032134,23.138366500032134,0.02734170004259795,[-0.2574074074074074],[-0.020370370370370372],[1],[0],[0],[0.586801299941726],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
16,0,16,0,23.755016100010835,23.755016100010835,0.02822760003618896,[-0.20277777777777778],[0.06018518518518518],[1],[0],[0],[0.8700265000807121],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
17,0,17,0,24.654998800018802,24.654998800018802,0.027614800026640296,[0.25462962962962965],[0.03148148148148148],[1],[0],[0],[1.4374257000163198],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
18,0,18,0,26.12165649991948,26.12165649991948,0.0274271999951452,[0.27870370370370373],[0.06481481481481481],[1],[0],[0],[1.654359900043346],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
19,0,19,0,27.804983399924822,27.804983399924822,0.02865859994199127,[0.22685185185185186],[0.06666666666666667],[1],[0],[0],[2.0195937999524176],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
20,0,20,0,29.854971099994145,29.854971099994145,0.027552899904549122,[-0.18981481481481483],[0.08148148148148149],[1],[0],[0],[1.120924000046216],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
21,0,21,0,31.004949799971655,31.004949799971655,0.027429700014181435,[0.3148148148148148],[0.07777777777777778],[1],[0],[0],[1.2710645999759436],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
22,0,22,0,32.30495299992617,32.30495299992617,0.02736810001078993,[-0.2324074074074074],[0.07407407407407407],[1],[0],[0],[1.121068499982357],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
23,0,23,0,33.4549520999426,33.4549520999426,0.027231100015342236,[0.2657407407407407],[0.08703703703703704],[1],[0],[0],[1.2544174999929965],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
24,0,24,0,34.73829589993693,34.73829589993693,0.02756080008111894,[-0.3425925925925926],[0.058333333333333334],[1],[0],[0],[1.0208359999815002],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
25,0,25,0,35.78824799996801,35.78824799996801,0.027886399999260902,[-0.3425925925925926],[0.058333333333333334],[1],[0],[0],[1.937262500054203],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
26,0,26,0,37.75492769991979,37.75492769991979,0.028401499963365495,[-0.3425925925925926],[0.058333333333333334],[1],[0],[0],[0.8533414000412449],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
27,0,27,0,38.63823909999337,38.63823909999337,0.028049299959093332,[0.22407407407407406],[0.07777777777777778],[1],[0],[0],[0.9203215000452474],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
28,0,28,0,39.58822789997794,39.58822789997794,0.02742439997382462,[-0.1425925925925926],[0.046296296296296294],[1],[0],[0],[0.8043528000125661],[0],['image_l'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
29,0,29,0,40.42158449999988,40.42158449999988,0.02735800005029887,[0.23425925925925925],[0.046296296296296294],[1],[0],[0],[1.0211358000524342],[0],['image_r'],248852,001,2023-05-16_13h34.30.625,staircase,2023.1.1,60.02743252192778,
,,,,41.471542199957184,41.471542199957184,0.027100699953734875,,,,,,,,,,,,,,,
